cs,facet,source_id,nearest_ancestor_cs,nearest_ancestor_id,outermost_offered_ancestor_cs,rungs_above,same_facet,verdict
digitální model terénu,Methods,124,letecké laserové skenování,123,archeologické výzkumy,5,True,
**suborál (paleoklimatologie),Chronology,1068,holocén,1063,geologická doba,4,True,
GPS (navigační systém),Methods,130,satelitní navigační systém,128,archeologické výzkumy,4,True,
Galileo (navigační systém),Methods,129,satelitní navigační systém,128,archeologické výzkumy,4,True,
atlantik (paleoklimatologie),Chronology,1066,holocén,1063,geologická doba,4,True,
boreál (paleoklimatologie),Chronology,1065,holocén,1063,geologická doba,4,True,
bucchero,Material,2465,starověká keramika,2464,materiál objektu/předmětu,4,True,
doba ledová,Chronology,1061,pleistocén,1060,geologická doba,4,True,
doba meziledová,Chronology,1062,pleistocén,1060,geologická doba,4,True,
epiatlantik (paleoklimatologie),Chronology,1067,holocén,1063,geologická doba,4,True,
gávská kultura,Chronology,1181,karpatská popelnicová pole,1179,periodizace dějin,4,True,
letecké laserové skenování,Methods,123,letecká fotogrammetrie,122,archeologické výzkumy,4,True,
mykénská kultura,Chronology,1153,helladská kultura,1152,periodizace dějin,4,True,
ortofotomapa,Methods,125,letecká fotogrammetrie,122,archeologické výzkumy,4,True,
podmokelská kultura,Chronology,1217,časná doba laténska (LtA),1216,periodizace dějin,4,True,
preboreál (paleoklimatologie),Chronology,1064,holocén,1063,geologická doba,4,True,
przeworská kultura,Chronology,1221,mladší/pozdní doba laténská (LtC2-D),1220,periodizace dějin,4,True,
púchovská kultura,Chronology,1222,mladší/pozdní doba laténská (LtC2-D),1220,periodizace dějin,4,True,
subatlantik (paleoklimatologie),Chronology,1069,holocén,1063,geologická doba,4,True,
čakanská kultura,Chronology,1180,karpatská popelnicová pole,1179,periodizace dějin,4,True,
černofigurová keramika,Material,2466,starověká keramika,2464,materiál objektu/předmětu,4,True,
červenofigurová keramika,Material,2467,starověká keramika,2464,materiál objektu/předmětu,4,True,
Itala,Artefact,2219,bible,2217,náboženská literatura,3,True,
Vetus Latina,Artefact,2220,bible,2217,náboženská literatura,3,True,
antika,Chronology,1259,starověk,1258,periodizace dějin,3,True,
barokní nástěnná malba,Artefact,1866,nástěnná malba,1865,doklady umění,3,True,
bukovohorská kultura,Chronology,1112,střední / mladší neolit,1111,periodizace dějin,3,True,
butmirská kultura,Chronology,1113,střední / mladší neolit,1111,periodizace dějin,3,True,
doplňování muzejních sbírek,Location & Admin,234,sbírkotvorná činnost,233,činnosti muzeí,3,True,
družicová geodezie,Methods,120,dálkový průzkum Země,119,archeologické výzkumy,3,True,
dějiny Bible,Artefact,2218,bible,2217,náboženská literatura,3,True,
environmentální skenovací elektronová mikroskopie,Methods,149,skenovací elektronová mikroskopie,148,"analýzy, posudky (metody spracování)",3,True,
evidence sbírkových předmětů,Location & Admin,235,sbírkotvorná činnost,233,činnosti muzeí,3,True,
