cs,en,source,source_id,scheme,theme,placed_by
Artemísion,Artemisium,teater,1306,1267,Activity Area,teater:1267
Asklépieion,Asclepeion,teater,1307,1267,Activity Area,teater:1267
Loretánská kaple,Loreto chapel,teater,1331,1267,Activity Area,teater:1267
Métróon,Metroon,teater,1313,1267,Activity Area,teater:1267
agora,agora,teater,1469,1267,Activity Area,teater:1267
akropole,acropolis,teater,1424,1267,Activity Area,teater:1267
akvadukt,aqueduct,teater,1414,1267,Activity Area,teater:1267
amfiprostylos,amphiprostyle,teater,1305,1267,Activity Area,teater:1267
antické město,ancient city,teater,1395,1267,Activity Area,teater:1267
antický chrám,ancient temple,teater,1304,1267,Activity Area,teater:1267
apoikia,apoikia,teater,1442,1267,Activity Area,teater:1267
areál jiné aktivity,other activity area,teater,1268,1267,Activity Area,teater:1267
areál nezemědělské výroby,non-agricultural production area,teater,1275,1267,Activity Area,teater:1267
areál vojenských aktivit,military area,teater,1284,1267,Activity Area,teater:1267
areál zemědělské výroby,agriculture production area,teater,1293,1267,Activity Area,teater:1267
augustiniánský klášter,Augustinian monastery,teater,1360,1267,Activity Area,teater:1267
bazilika,basilica,teater,1334,1267,Activity Area,teater:1267
baziliánský klášter,Basilian monastery,teater,1384,1267,Activity Area,teater:1267
benediktinský klášter,Benedictine monastery,teater,1361,1267,Activity Area,teater:1267
bojiště,battlefields,teater,1285,1267,Activity Area,teater:1267
boží muka a křížky,wayside shrines and crosses,teater,1323,1267,Activity Area,teater:1267
castellum,castellum,teater,1292,1267,Activity Area,teater:1267
chronologie (města),chronology (cities),teater,1394,1267,Activity Area,teater:1267
chrám,temple,teater,3865,1267,Activity Area,teater:1267
cisterciácký klášter,Cistercian monastery,teater,1362,1267,Activity Area,teater:1267
colonia,colonia,teater,1353,1267,Activity Area,teater:1267
církevní architektura,church architecture,teater,1322,1267,Activity Area,teater:1267
dehtárna,tar kiln (area),teater,1276,1267,Activity Area,teater:1267
depot,hoard,teater,1299,1267,Activity Area,teater:1267
dipteros,dipteros,teater,1308,1267,Activity Area,teater:1267
dominikánský klášter,Dominican monastery,teater,1363,1267,Activity Area,teater:1267
dvojitý klášter,double monastery,teater,1358,1267,Activity Area,teater:1267
dvorec,manorial farm,teater,1425,1267,Activity Area,teater:1267
dvůr,court,teater,1426,1267,Activity Area,teater:1267
démos (sídliště),Demos (settlement),teater,1444,1267,Activity Area,teater:1267
dóm,duomo,teater,3864,1267,Activity Area,teater:1267
dřevěná kaple,wooden chapel,teater,1329,1267,Activity Area,teater:1267
dřevěný kostel,wooden church,teater,1335,1267,Activity Area,teater:1267
důl,mine,teater,1460,1267,Activity Area,teater:1267
evangelický kostel,Evangelical temple,teater,1338,1267,Activity Area,teater:1267
františkánský klášter,Franciscan monastery,teater,1364,1267,Activity Area,teater:1267
funkce (města),function (town),teater,1387,1267,Activity Area,teater:1267
fórum,forum,teater,1470,1267,Activity Area,teater:1267
hekatompedon,hekatompedon temple,teater,1309,1267,Activity Area,teater:1267
hlavní město,capital city,teater,1388,1267,Activity Area,teater:1267
hlubinný důl,underground mine,teater,1461,1267,Activity Area,teater:1267
hornické sídliště,mineworkers´ settlement,teater,1448,1267,Activity Area,teater:1267
horní město,mining town,teater,1389,1267,Activity Area,teater:1267
horská silnice,mountain road,teater,1417,1267,Activity Area,teater:1267
hrad,castle,teater,1429,1267,Activity Area,teater:1267
hradiště,hillfort,teater,1354,1267,Activity Area,teater:1267
hradní architektura,castle architecture,teater,1430,1267,Activity Area,teater:1267
hrádek,fortified manor,teater,1428,1267,Activity Area,teater:1267
héróon,heroon,teater,1310,1267,Activity Area,teater:1267
hřbitov,cemetery,teater,1408,1267,Activity Area,teater:1267
hřbitovní kaple,cemetery chapel,teater,1330,1267,Activity Area,teater:1267
in antis,distyle in antis,teater,1311,1267,Activity Area,teater:1267
islámská architektura,Islamic architecture,teater,1343,1267,Activity Area,teater:1267
izolovaný pohřeb,isolated burial,teater,1409,1267,Activity Area,teater:1267
jeskynní hrad,cave castle,teater,1431,1267,Activity Area,teater:1267
jez,weir,teater,1476,1267,Activity Area,teater:1267
kabeirion,cabeirion,teater,1312,1267,Activity Area,teater:1267
kalvárie,calvary,teater,1324,1267,Activity Area,teater:1267
kamenný kříž,stone cross,teater,1325,1267,Activity Area,teater:1267
kamenolom,stone quarry,teater,1465,1267,Activity Area,teater:1267
kapitula,chapter house,teater,1327,1267,Activity Area,teater:1267
kaple,chapel,teater,1328,1267,Activity Area,teater:1267
kapucínský klášter,Capuchin monastery,teater,1365,1267,Activity Area,teater:1267
karmelitánský klášter,Carmelite monastery,teater,1366,1267,Activity Area,teater:1267
kartuziánský klášter,Carthusian monastery,teater,1367,1267,Activity Area,teater:1267
kasárna,barracks,teater,1449,1267,Activity Area,teater:1267
katedrála,cathedral,teater,1336,1267,Activity Area,teater:1267
katolický klášter,Catholic monastery,teater,1359,1267,Activity Area,teater:1267
katolický kostel,Catholic church,teater,1339,1267,Activity Area,teater:1267
kačkar,khachkar,teater,1326,1267,Activity Area,teater:1267
keltské oppidum,Celtic oppidum,teater,1355,1267,Activity Area,teater:1267
klášter,monastery,teater,1356,1267,Activity Area,teater:1267
klášter benediktinek,Benedictine nunnery,teater,1368,1267,Activity Area,teater:1267
klášter brigitinek,Bridgettine nunnery,teater,1369,1267,Activity Area,teater:1267
klášter cisterciaček,Cistercian nunnery,teater,1370,1267,Activity Area,teater:1267
klášter dominikánek,Dominican nunnery,teater,1371,1267,Activity Area,teater:1267
klášter kamaldulů,Camaldolese monastery,teater,1372,1267,Activity Area,teater:1267
klášter klaristek,monastery of Clares,teater,1373,1267,Activity Area,teater:1267
klášter křížovníků,monastery of Knights of the Cross,teater,1374,1267,Activity Area,teater:1267
klášter mariánů,monastery of Marian Fathers,teater,1375,1267,Activity Area,teater:1267
klášter servitů,Servite monastery,teater,1376,1267,Activity Area,teater:1267
klášter voršilek,monastery of Ursulines,teater,1377,1267,Activity Area,teater:1267
komenda,commandery,teater,1450,1267,Activity Area,teater:1267
konfesní rozdělení,confessional division,teater,1337,1267,Activity Area,teater:1267
kostel,church,teater,1333,1267,Activity Area,teater:1267
kromlech,cromlech,teater,1346,1267,Activity Area,teater:1267
královské město,royal town,teater,1399,1267,Activity Area,teater:1267
kultovní areál,cult area,teater,1303,1267,Activity Area,teater:1267
kultovní místo,cult site,teater,1345,1267,Activity Area,teater:1267
křesťanský klášter,Christian monastery,teater,1357,1267,Activity Area,teater:1267
křížová cesta,ways of the Cross,teater,1342,1267,Activity Area,teater:1267
loděnice,dockyard,teater,1473,1267,Activity Area,teater:1267
lom,quarry,teater,1464,1267,Activity Area,teater:1267
lovecký zámek,hunting chateaux,teater,1440,1267,Activity Area,teater:1267
lázně,spa,teater,1269,1267,Activity Area,teater:1267
majetnický a votivní depot,votive deposit,teater,1300,1267,Activity Area,teater:1267
megalitická památka,megalith,teater,1347,1267,Activity Area,teater:1267
metropole,metropolis,teater,1390,1267,Activity Area,teater:1267
mešita,mosque,teater,1344,1267,Activity Area,teater:1267
milířiště,charcoal kiln (area),teater,1277,1267,Activity Area,teater:1267
mincovní poklad,coin treasure,teater,1302,1267,Activity Area,teater:1267
minoritský klášter,Minorite monastery,teater,1378,1267,Activity Area,teater:1267
mohylník,barrow cemetery,teater,1410,1267,Activity Area,teater:1267
monastýr,monastery (Eastern Orthodox Church),teater,1383,1267,Activity Area,teater:1267
monopteros,monopteros,teater,1314,1267,Activity Area,teater:1267
most,bridge,teater,1415,1267,Activity Area,teater:1267
municipium,municipium,teater,1396,1267,Activity Area,teater:1267
místo sběru,gathering area,teater,1271,1267,Activity Area,teater:1267
městečko,small town,teater,1445,1267,Activity Area,teater:1267
město,town,teater,1386,1267,Activity Area,teater:1267
